select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5111
0 140829 test 140416 0.6886 linear-transformation
0 140416 test 140829 0.6422 affine-transformation
0 140829 test 140416 0.6801 affine-transformation
0 140416 test 140829 0.4676 decision-tree
0 140829 test 140416 0.4896 decision-tree
0 140416 test 140829 0.4774 random-forest
0 140829 test 140416 0.5079 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4814
0 140416 test 140416 0.7661 validation
0 150416 test 150416 0.7156 validation
0 140416 test 150416 0.4396 no-mapping
0 150416 test 140416 0.409 no-mapping
0 140416 test 150416 0.6545 linear-transformation
0 150416 test 140416 0.6642 linear-transformation
0 140416 test 150416 0.6484 affine-transformation
0 150416 test 140416 0.6618 affine-transformation
0 140416 test 150416 0.4591 decision-tree
0 150416 test 140416 0.4542 decision-tree
0 140416 test 150416 0.4554 random-forest
0 150416 test 140416 0.4799 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4960
0 140416 test 140416 0.7661 validation
0 150602 test 150602 0.7523 validation
0 140416 test 150602 0.4603 no-mapping
0 150602 test 140416 0.5543 no-mapping
0 140416 test 150602 0.6447 linear-transformation
0 150602 test 140416 0.6606 linear-transformation
0 140416 test 150602 0.6422 affine-transformation
0 150602 test 140416 0.6606 affine-transformation
0 140416 test 150602 0.4542 decision-tree
0 150602 test 140416 0.4969 decision-tree
0 140416 test 150602 0.4823 random-forest
0 150602 test 140416 0.4896 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4975
0 140416 test 140416 0.7767 validation
0 150824 test 150824 0.7488 validation
0 140416 test 150824 0.4651 no-mapping
0 150824 test 140416 0.3637 no-mapping
0 140416 test 150824 0.6597 linear-transformation
0 150824 test 140416 0.6703 linear-transformation
0 140416 test 150824 0.6622 affine-transformation
0 150824 test 140416 0.6679 affine-transformation
0 140416 test 150824 0.47 decision-tree
0 150824 test 140416 0.5 decision-tree
0 140416 test 150824 0.4933 random-forest
0 150824 test 140416 0.4939 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4233
0 140600 test 140600 0.7638 validation
0 140829 test 140829 0.7839 validation
0 140600 test 140829 0.3675 no-mapping
0 140829 test 140600 0.1016 no-mapping
0 140600 test 140829 0.716 linear-transformation
0 140829 test 140600 0.7005 linear-transformation
0 140600 test 140829 0.7029 affine-transformation
0 140829 test 140600 0.7019 affine-transformation
0 140600 test 140829 0.463 decision-tree
0 140829 test 140600 0.4797 decision-tree
0 140600 test 140829 0.4845 random-forest
0 140829 test 140600 0.4919 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4033
0 140600 test 140600 0.7638 validation
0 150416 test 150416 0.7437 validation
0 140600 test 150416 0.2864 no-mapping
0 150416 test 140600 0.1599 no-mapping
0 140600 test 150416 0.6766 linear-transformation
0 150416 test 140600 0.7033 linear-transformation
0 140600 test 150416 0.6659 affine-transformation
0 150416 test 140600 0.6992 affine-transformation
0 140600 test 150416 0.4916 decision-tree
0 150416 test 140600 0.4553 decision-tree
0 140600 test 150416 0.4964 random-forest
0 150416 test 140600 0.4864 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4147
0 140600 test 140600 0.7638 validation
0 150602 test 150602 0.7487 validation
0 140600 test 150602 0.222 no-mapping
0 150602 test 140600 0.1653 no-mapping
0 140600 test 150602 0.6921 linear-transformation
0 150602 test 140600 0.7182 linear-transformation
0 140600 test 150602 0.6897 affine-transformation
0 150602 test 140600 0.7114 affine-transformation
0 140600 test 150602 0.4714 decision-tree
0 150602 test 140600 0.4621 decision-tree
0 140600 test 150602 0.5084 random-forest
0 150602 test 140600 0.5217 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4278
0 140600 test 140600 0.7641 validation
0 150824 test 150824 0.7333 validation
0 140600 test 150824 0.282 no-mapping
0 150824 test 140600 0.1294 no-mapping
0 140600 test 150824 0.675 linear-transformation
0 150824 test 140600 0.7129 linear-transformation
0 140600 test 150824 0.6643 affine-transformation
0 150824 test 140600 0.7116 affine-transformation
0 140600 test 150824 0.4576 decision-tree
0 150824 test 140600 0.4609 decision-tree
0 140600 test 150824 0.4803 random-forest
0 150824 test 140600 0.527 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4853
0 140829 test 140829 0.7431 validation
0 150416 test 150416 0.7156 validation
0 140829 test 150416 0.4835 no-mapping
0 150416 test 140829 0.2918 no-mapping
0 140829 test 150416 0.6459 linear-transformation
0 150416 test 140829 0.652 linear-transformation
0 140829 test 150416 0.6496 affine-transformation
0 150416 test 140829 0.6532 affine-transformation
0 140829 test 150416 0.4676 decision-tree
0 150416 test 140829 0.4493 decision-tree
0 140829 test 150416 0.5092 random-forest
0 150416 test 140829 0.4274 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5035
0 140829 test 140829 0.7431 validation
0 150602 test 150602 0.7523 validation
0 140829 test 150602 0.4725 no-mapping
0 150602 test 140829 0.3871 no-mapping
0 140829 test 150602 0.6764 linear-transformation
0 150602 test 140829 0.6581 linear-transformation
0 140829 test 150602 0.6789 affine-transformation
0 150602 test 140829 0.6581 affine-transformation
0 140829 test 150602 0.5031 decision-tree
0 150602 test 140829 0.4713 decision-tree
0 140829 test 150602 0.5238 random-forest
0 150602 test 140829 0.4554 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5057
0 140829 test 140829 0.7488 validation
0 150824 test 150824 0.7488 validation
0 140829 test 150824 0.623 no-mapping
0 150824 test 140829 0.4124 no-mapping
0 140829 test 150824 0.7368 linear-transformation
0 150824 test 140829 0.7299 linear-transformation
0 140829 test 150824 0.7332 affine-transformation
0 150824 test 140829 0.7226 affine-transformation
0 140829 test 150824 0.481 decision-tree
0 150824 test 140829 0.483 decision-tree
0 140829 test 150824 0.4896 random-forest
0 150824 test 140829 0.4927 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4924
0 150416 test 150416 0.7156 validation
0 150602 test 150602 0.7523 validation
0 150416 test 150602 0.4225 no-mapping
0 150602 test 150416 0.4212 no-mapping
0 150416 test 150602 0.6911 linear-transformation
0 150602 test 150416 0.6874 linear-transformation
0 150416 test 150602 0.6935 affine-transformation
0 150602 test 150416 0.6886 affine-transformation
0 150416 test 150602 0.4249 decision-tree
0 150602 test 150416 0.4518 decision-tree
0 150416 test 150602 0.4591 random-forest
0 150602 test 150416 0.453 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4827
0 150416 test 150416 0.7302 validation
0 150824 test 150824 0.7488 validation
0 150416 test 150824 0.3525 no-mapping
0 150824 test 150416 0.3929 no-mapping
0 150416 test 150824 0.7124 linear-transformation
0 150824 test 150416 0.6837 linear-transformation
0 150416 test 150824 0.7099 affine-transformation
0 150824 test 150416 0.6861 affine-transformation
0 150416 test 150824 0.4933 decision-tree
0 150824 test 150416 0.4659 decision-tree
0 150416 test 150824 0.4871 random-forest
0 150824 test 150416 0.483 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4998
0 150602 test 150602 0.7535 validation
0 150824 test 150824 0.7488 validation
0 150602 test 150824 0.4663 no-mapping
0 150824 test 150602 0.41 no-mapping
0 150602 test 150824 0.6818 linear-transformation
0 150824 test 150602 0.6825 linear-transformation
0 150602 test 150824 0.6793 affine-transformation
0 150824 test 150602 0.6813 affine-transformation
0 150602 test 150824 0.4994 decision-tree
0 150824 test 150602 0.4903 decision-tree
0 150602 test 150824 0.4725 random-forest
0 150824 test 150602 0.4939 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5077
1 130411 test 130411 0.8088 validation
1 130606 test 130606 0.7549 validation
1 130411 test 130606 0.4353 no-mapping
1 130606 test 130411 0.408 no-mapping
1 130411 test 130606 0.6675 linear-transformation
1 130606 test 130411 0.6663 linear-transformation
1 130411 test 130606 0.6739 affine-transformation
1 130606 test 130411 0.6711 affine-transformation
1 130411 test 130606 0.4848 decision-tree
1 130606 test 130411 0.4726 decision-tree
1 130411 test 130606 0.5076 random-forest
1 130606 test 130411 0.4689 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4496
1 130411 test 130411 0.7828 validation
1 131125 test 131125 0.702 validation
1 130411 test 131125 0.3214 no-mapping
1 131125 test 130411 0.2104 no-mapping
1 130411 test 131125 0.6082 linear-transformation
1 131125 test 130411 0.6119 linear-transformation
1 130411 test 131125 0.6056 affine-transformation
1 131125 test 130411 0.6227 affine-transformation
1 130411 test 131125 0.4409 decision-tree
1 131125 test 130411 0.4087 decision-tree
1 130411 test 131125 0.4595 random-forest
1 131125 test 130411 0.4329 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5357
1 130411 test 130411 0.8084 validation
1 140416 test 140416 0.785 validation
1 130411 test 140416 0.5164 no-mapping
1 140416 test 130411 0.0715 no-mapping
1 130411 test 140416 0.6598 linear-transformation
